x,y,inferred_value,qw,max_depth,population,max_it
-73.9993541502111,40.7186870348335,77.56050940022232,1,1,10,10
-73.99687746271464,40.72186442410526,78.46894409937889,1,1,10,10
-74.00784381548682,40.728888616689986,78.46894409937889,1,1,10,10
-73.99459030106163,40.73139396002767,78.46894409937889,1,1,10,10
-74.22183406172998,40.52531748273714,78.46894409937889,2,1,10,10
-73.87059735497114,40.8615829445894,78.46894409937889,3,1,10,10
-73.8414236834689,40.84601457617597,78.46894409937889,3,1,10,10
-73.862000929172,40.877285694332755,78.46894409937889,3,1,10,10
-73.84231281094593,40.864542232082925,78.46894409937889,3,1,10,10
-73.9948422798778,40.6181580808532,78.46894409937889,4,1,10,10
-73.97515444124623,40.62944629459367,78.46894409937889,4,1,10,10
-74.00096237240834,40.63464313299377,78.46894409937889,4,1,10,10
-73.96871469493142,40.64996767950969,78.46894409937889,4,1,10,10
-73.85656147989488,40.69457553733243,78.46894409937889,5,1,10,10
-73.76276466608864,40.68393398003237,78.46894409937889,5,1,10,10
-73.84792595205211,40.752505964799745,78.46894409937889,5,1,10,10
-73.80923896636413,40.72553194899811,78.46894409937889,5,1,10,10
-73.87886060344862,40.690086225197966,78.46894409937889,6,1,10,10
-73.80447634607505,40.667520131442664,78.46894409937889,6,1,10,10
-73.89614601197583,40.73358919442666,78.46894409937889,6,1,10,10
-73.81408069571901,40.72577482080608,78.46894409937889,6,1,10,10
-74.00414128050576,40.7229531580563,77.45725418908947,1,2,10,10
-74.00668118954708,40.72056708044302,78.46894409937889,1,2,10,10
-74.00058610366277,40.720809468946804,74.79353233830845,1,2,10,10
-74.00752925735132,40.72456987451415,78.46894409937889,1,2,10,10
-74.002745274725,40.725063388908545,78.46894409937889,1,2,10,10
-73.99469992561656,40.721078117283746,78.46894409937889,1,2,10,10
-73.9986525153807,40.71881934571128,78.46894409937889,1,2,10,10
-73.99308499645078,40.719611291518774,78.46894409937889,1,2,10,10
-73.99626510032812,40.72224028940308,78.46894409937889,1,2,10,10
-73.9943625752141,40.72487369326343,78.46894409937889,1,2,10,10
-74.00788532839509,40.729145047587075,78.46894409937889,1,2,10,10
-74.00447171150198,40.72630842293606,78.46894409937889,1,2,10,10
-74.00112895867483,40.72711246167454,78.46894409937889,1,2,10,10
-74.00398993109597,40.73049827375887,74.42455858747992,1,2,10,10
-73.99961577388804,40.730898159002464,78.46894409937889,1,2,10,10
-73.99475547023452,40.73086438911416,78.46894409937889,1,2,10,10
-73.99198285869947,40.72678553295746,78.46894409937889,1,2,10,10
-73.99694937754032,40.73181686377664,78.46894409937889,1,2,10,10
-73.99476420669444,40.731433819981724,78.46894409937889,1,2,10,10
-74.22205557959653,40.52583835393545,78.46894409937889,2,2,10,10
-74.22110877855245,40.525342187990304,78.46894409937889,2,2,10,10
-74.22595196712376,40.528326979723126,72.5497737556561,2,2,10,10
-74.2210300963167,40.527275106986586,78.46894409937889,2,2,10,10
-73.85763619016761,40.84838827021676,78.46894409937889,3,2,10,10
-73.8841044621292,40.853325573016576,74.79353233830845,3,2,10,10
-73.85718073082631,40.84636150378782,78.46894409937889,3,2,10,10
