x,y,inferred_value,k,qw
-74.00003473914774,40.71934995075264,70.97606335646913,100,1
-73.99300736254335,40.71934995075264,78.46894409937889,100,1
-74.00706211575215,40.7206757825909,74.79353233830845,100,1
-74.00179158329885,40.7206757825909,73.66597642561324,100,1
-73.99827789499665,40.7206757825909,76.79650092081032,100,1
-73.99300736254335,40.722001614429175,78.46894409937889,100,1
-73.99300736254335,40.72332744626745,72.07777777777778,100,1
-74.00354842744994,40.72465327810571,69.06430120855283,100,1
-74.00179158329885,40.725979109943985,76.52817437654674,100,1
-74.00530527160105,40.72730494178225,71.53245480287518,100,1
-74.00354842744994,40.72863077362052,74.79353233830845,100,1
-74.00706211575215,40.729956605458796,74.17446079419473,100,1
-73.99652105084556,40.73128243729706,78.46894409937889,100,1
-73.99476420669444,40.73128243729706,78.46894409937889,100,1
-74.22190851839224,40.52608277362052,78.46894409937889,100,2
-74.22366536254336,40.52740860545879,72.5497737556561,100,2
-74.22190851839224,40.52740860545879,74.79353233830845,100,2
-74.22542220669445,40.52873443729706,72.5497737556561,100,2
-74.22366536254336,40.52873443729706,72.5497737556561,100,2
-74.22190851839224,40.52873443729706,72.5497737556561,100,2
-73.8702153896007,40.844940276209954,78.46894409937889,100,3
-73.86465976058929,40.844940276209954,78.46894409937889,100,3
-73.85910413157791,40.844940276209954,72.5497737556561,100,3
-73.8535485025665,40.844940276209954,74.79353233830845,100,3
-73.84799287355511,40.844940276209954,78.46894409937889,100,3
-73.8424372445437,40.844940276209954,78.46894409937889,100,3
-73.83688161553229,40.844940276209954,74.67136517405697,100,3
-73.83132598652091,40.844940276209954,74.67136517405697,100,3
-73.87577101861211,40.84913292461327,74.17446079419473,100,3
-73.8702153896007,40.84913292461327,72.5497737556561,100,3
-73.86465976058929,40.84913292461327,72.5497737556561,100,3
-73.85910413157791,40.84913292461327,78.46894409937889,100,3
-73.8535485025665,40.84913292461327,78.46894409937889,100,3
-73.84799287355511,40.84913292461327,72.5497737556561,100,3
-73.8424372445437,40.84913292461327,72.5497737556561,100,3
-73.83688161553229,40.84913292461327,72.5497737556561,100,3
-73.83132598652091,40.84913292461327,74.67136517405697,100,3
-73.8813266476235,40.853325573016576,74.17446079419473,100,3
